x	y	label
12555.007832898173	6307.537859007833	1
12623.666666666666	6297.166666666667	2
12589.567164179105	6302.55223880597	3
12642.49504950495	6307.3861386138615	4
13003.333333333334	6307.990990990991	5
12755.238461538462	6307.476923076923	6
12847.700507614214	6311.700507614213	7
12956.031496062993	6310.181102362205	8
12727.875486381323	6313.964980544747	9
12806.71505376344	6311.9838709677415	10
12778.6875	6312.475	11
12899.008064516129	6313.346774193548	12
13035.365384615385	6315.788461538462	13
12980.8125	6310.65625	14
13102.027027027027	6317.243243243243	15
12535.549242424242	6323.518939393939	16
12678.434504792333	6318.172523961662	17
13054.529411764706	6317.058823529412	18
13132.738095238095	6315.0952380952385	19
13865.276422764227	6315.577235772358	20
13075.0	6319.190476190476	22
13164.441176470587	6320.705882352941	23
13267.234234234234	6320.8378378378375	24
12584.175903614458	6327.631325301205	25
13220.005434782608	6328.451086956522	26
13286.695652173914	6326.550724637681	27
12509.146198830409	6328.625730994152	28
12922.846153846154	6325.369230769231	29
13181.535714285714	6326.285714285715	30
10706.733333333334	6329.133333333333	31
13305.83185840708	6335.451327433629	32
12790.798245614034	6339.850877192983	33
13330.682926829268	6341.993902439024	34
12611.373737373737	6346.0	35
12640.23870967742	6344.270967741935	36
13119.047619047618	6349.666666666667	37
12563.89375	6347.2	38
12766.238578680202	6349.309644670051	39
13277.51282051282	6341.51282051282	40
13372.335429769391	6350.144654088051	41
11107.880434782608	6347.402173913043	42
12842.276679841898	6350.533596837945	43
11269.784615384615	6350.953846153846	44
12657.429118773947	6359.459770114942	45
13405.788617886179	6355.772357723577	46
11141.486842105263	6352.960526315789	47
12722.082278481013	6354.392405063291	48
12781.978021978022	6362.1648351648355	49
13209.565217391304	6362.413043478261	50
13322.478260869566	6364.565217391304	51
12508.757475083057	6375.803986710964	52
12930.306451612903	6368.9838709677415	53
12588.633333333333	6381.303703703704	54
12826.0	6376.711538461538	55
13426.287081339713	6373.971291866029	56
12547.695238095239	6376.676190476191	57
12567.329192546584	6380.0	58
12712.123404255319	6383.438297872341	59
12969.222222222223	6372.825396825397	60
13196.75	6378.210526315789	61
12942.254205607476	6399.042990654206	62
11142.0	6377.142857142857	63
12907.298507462687	6384.134328358209	64
13302.274509803921	6383.696078431372	65
13323.093922651933	6385.983425414364	66
13470.59857142857	6396.262857142857	67
13067.84375	6384.4375	68
13095.275510204081	6389.397959183673	69
13133.71568627451	6389.950980392156	70
13387.496402877698	6391.597122302158	71
12488.663101604277	6395.491978609625	72
12636.784810126583	6388.139240506329	73
10267.0	6386.0	74
13411.677419354839	6401.4946236559135	75
13143.354166666666	6406.90625	76
12785.74358974359	6411.919413919414	77
13046.08988764045	6405.651685393258	78
13263.586206896553	6409.31724137931	79
13327.825757575758	6408.128787878788	80
